Site ID,Chelinidia sp.,Cochineal scale ,Melitara sp. ,Phyllosticta Pad Spot ,Anthracnose ,Moneilema sp,Other/unknown,Extent of plant damage (0-5),Opuntia height (ft)
BN 1,3,0,0,0.166666667,1,0,0,2.666666667,2.5
BN 2,2.833333333,0,0,0.166666667,1.833333333,0,0,3,2.0
BN 3,3.666666667,0,0,0.166666667,3.666666667,0,0,3.666666667,1.5
BN 4,2.5,0,0,0.166666667,3.666666667,0,0,3.833333333,2.5
BN 5,1.166666667,0,0,0.833333333,1.833333333,0,0,2.666666667,3.5
BN 6,2.333333333,0,0,1.333333333,1.5,0,0,2.666666667,1.5
BN 7,1.5,0,0,0,0.333333333,0,0,1.5,3.0
BN 8,2.333333333,0.166666667,0,2.333333333,1.5,0,0,2.666666667,3.5
BN 9,2,0,0,2.666666667,1,0,0,3.5,3.0
BN 10,1.333333333,0,0,1.833333333,0.833333333,0,0,1.666666667,1.5
BM 1,0.833333333,0.166666667,1.5,0.833333333,0,0,0,2,2.0
BM 2,1.5,0,1.333333333,0.5,2.833333333,0,0,2.333333333,2.0
BM 3,1.5,0.166666667,2.166666667,0.666666667,1.666666667,0,0,2.333333333,3.5
BM 4,2.166666667,0,1.5,0,2,0,0,2.833333333,2.0
BM 5,1.5,0,3.166666667,0.333333333,0.666666667,0,0,2.833333333,2.5
BM 6,1.5,1.833333333,2.166666667,0.166666667,1.333333333,0,0,3,3.5
BM 7,2.5,0,0.666666667,0.166666667,2.166666667,0,0,2.333333333,4.5
BM 8,2.25,0,1.25,0.5,2,0,0,2.5,3
BM 9,2.5,2,2.25,3,0.5,0,0,2.25,3.5
BM 10,2.75,1.25,3.75,1.5,2.75,0,0,3.5,4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,